,verbatim_text
138,"No, this flight was very good. Wish we could have preordered our meal and had more beverages but the attendants were too busy making meals."
139,Meal was not hot or as good wuality of items as the flight from Dublin to Newark. Much better quality on.
140,They are to expensive. $10. For Baileys?.
141,"The ability to purchase other snacks was not briefed (or I missed it if it was). Given that passengers are told to have an active credit card in their so that onboard snacks can be purchased, this seems odd."
142,Why would you serve a barley salad when the chicken came with rice?. Too many grains.
143,I wondered why we were not given pretzels/nuts on this flight??.
144,I encourage the airline to have a greater variety of higher-end and higher quality food options. United is lacking is this area relative to other major international airlines.
145,"I was surprised that on one of our United flights they provided milk for my son. I was thrilled because that is just about all he will drink and it made my experience much better that there was milk onboard. I also loved being served champagne before we took off, and feel paying for First Class was totally worth it just for that!."
146,Would have like to been offered a comp snack like pretzels.
147,Pretty small portions.
148,No.
149,we were not offer any food or snacks.
150,No thank you.
151,Pretzels tasted a little stale.
152,The fruit in the fruitbowl part of the meal was surprisingly good.
153,Obviously selections have gone downhill.
154,"I think w such long flights, one round of beverages are hurried than never offered again."
155,Should give second chance for beverage.
156,With 4 hours mid day we could have used something a bit more substantial.
157,"It was a shame not to have some sort of hot food on the flight. On the outbound there was, but not on the return flight."
158,Na.
159,Some more options would be nice.
160,The unique options made the flight very pleasant.
161,Now you have to have the app with a credit card saved. No cash or credit card used. Better selection of food would be nice. the price is a little high.
162,"I got the message prior to boarding to save a credit card for food purchases, which I did. However, many other passengers on the flight were not prepared and were complaining about this. I do not think this is the way to go, as it is way too inconvenient for passengers. I recommend bringing back the option to pay with a credit card onboard the aircraft."
163,"Bring back the old ""Continental"" warm cookie and coffee for dessert. Same for the ice cream sundae treats the old ""Continental"" overseas flights offered. The nearly freeze dried ice cream and brownie wafer topping was a big let down on my Houston-Munich and Frankfurt-DC legs... Beverage selection was very good though."
164,No.
165,Chicken risotto dish was awful.
166,They do not need to give a whole can.
167,no.
168,Amount of food was decreased when compared with flight 4 years ago (my last trip to the United States).
169,Make sure the plane is stocked with cookies before each flight lol.
170,not much.
171,Hot meals could be better.
172,No food.
173,"Everything has cheese, which is bad for lactose intolerant people or vegans."
174,Biscoff cookies were not available.
175,The meal was excellent.
176,I would like to recieve snacks and coke. Not just water and a cookie.
177,The waffles were overly sweet. Could not eat them. My husband's eggs were quite salty.
178,Pretzels have always had a stale taste - find a new company.
179,"Good was second class, tasteless not for the thousands I paid for first class."
180,The Spanish Tempranillo was very good.
181,Excellent flight staff.
182,More choices would be nice.
183,Would be nice if there was something other than the snack boxes.
184,Nice variety.
185,It ani't the way it [way] used to be.
186,Like that I received the entire can of juice.
187,No.
188,As I said above could not order snacks for my friends.
189,More variety on the snacks.
190,It would be nice to have an entire can of soda or bottle of water to ourselves.
191,They do not have the pre-order now that I reserved option. I was happy with the option.
192,Loved the biscotti!.
193,No.
194,yes a beer.
195,No offer of additional food despite being a First Class passenger. Tried to pre-order gluten-free meal for wife and it kept kicking me out of the app.
196,"I am thankful that on this flight there was the choice of something that did not have sugar. Even though pretzels is a carb and it could spike the sugar, so I am thankful the airport stores sell nuts airlines before used to offer a small package of knots. I know everyone's Hass to watch the cost but yes the snacks right on the smaller side, thankful for the efficiency and friendliness of the attendance and the efficiency of the plane, mechanics and pilots. Super job!."
197,No.
198,Shortage of snack box options.
199,Simple and good.
200,Offer soft alcoholic drinks such as beer and wine at no charge.
201,Great improvement from previous flights with business class.
202,You could offer at least more cookies.
203,I would love to have a Dr Pepper served on United flights!. Southwest Airlines provides Dr Pepper. Why does not United?.
204,No service in Busineess class before the flight. Some flight you get device before take off. Inconsistent. Drink service seemed late and did not come back to ask for a refill. Weather was good and no turbulence.
205,"Please be more descriptive with the food and stop trying to be so healthy or at least have options. The whole grain buns were gross. The mushy risotto whatever was gross. The spinach throughout, gross. The chicken had good spice, cooked well for a microwave, and plated nicely. Tomato sauce was nice. But the rest was just gross and inedible. With a real bread roll or toast and some actual normal pasta that would be a delicious meal. Similar to some that Lufthansa serve. This was too healthy to be edible."
206,More choices.
207,Coffee was hot <😊>.
208,"In the past, there was a separate serving of warm fresh croissants, cinnamon rolls. now you get one dried out croissant with your breakfast meal."
209,Too short of a flight for service. That is fine.
210,would still like to pay during flight... I am not going to order food/snacks under current pay system.
211,Turbulence kept the service from happening.
212,The selection was good. the quality was poor and gross to drink. Both the purchased sparkling wine and complimentary sparkling water.
213,There should be a light meal served.
214,Extraordinary flight attendants.
215,I had not received the option to preorder in the past. Great feature - makes for a satisfying in flight meal experience.
216,"I like it when I get the whole can, not just a pour...some flights yes some no."
217,None.
218,I thought maybe a sherbet would have been a bit better.
219,No.
220,Loved the champagne welcome as we were getting seated.
221,There were not any. we got in early so I do not really care.
222,Please give bottle so that I may mix my own drink.
223,Food was so tasty and seasoned so well!. Dessert option was not the best. It was ice cream. I am lactose intolérant. No to the Dasani water.
224,The food and beverages were ok.
225,Tasty snacks.
226,"I pre ordered my breakfast but then was informed my selection was not available. Nor was the second alternative available. The last alternative was something I did not want. No fault of the flight attendant, but why give passengers the option to pre order when what they select is not available?."
227,The selection and availability needs improvement.
228,A 1st Class seat should have better food or snack options.
229,The chicken dinner was surprisingly tasty. We ate all of it.
230,"The selection was good. It is a business class meal, maybe bring back a proper appetizer, bread basket, etc. The salad offered with the meal was very unappetizing. It had a dressing in the bottom of the bowl with the salad on top. Probably the worst attempt at a salad on a plane I have had."
231,I realize it is a short flight but would prefer higher quality snack options for sale.
232,Only one drink service on a 4 hour flight seemed paltry.
233,Not much I can say about complimentary snacks. They are pretty chinsey.
234,I like that I was offered the can instead of just the small cup for my beverage.
235,"Pretty ordinary selection of food..... I think we can do better..... Cheese cracker, snickers, M&Ms, beef jerky, pop corn etc......"
236,No.
237,no cookies or pretzels anymore with flight time \< 90 minutes?. I used to enjoy a stroopwaffel between DFW & IAH. Sad for this development.
238,None setved.
239,Cups were filled halfway with lots of ice.
240,A little bag of something on the Chicago to Atlanta portion of the trip would have been nice.
241,I am 82. I remember the days of nice snacks and meals.
242,I did not hear. missed the part where I could have ordered a snack in advance. So consequently I only had the onboard snack to choose from. the pretzels tasted stale to me.
243,I appreciated having the choice of ice or not and of a cup or can.
244,I was in Premium Economy and I did not think they had a limitation on wine?.
245,Food offering in First class not up to par w other competitors.
246,No pre dinner drinks were offered.
247,Thank You.
248,"I was disappointed that the menu for the flight was a photocopy on copier paper, manually cut in half, and included no list of the wines being offered on the flight. Menus should be printed on durable cardstock."
249,"My outbound flight from SFO to BOS on 9/27/22 I purchased a breakfast sandwhich. I tried to retrieve my receipt using an email link I received, without luck, using my name and credit card info and my name and reservation number. I elected not to purchase anything on the BOS to SFO flight home."
250,"My first class flight out bound had just a snack and coffee, return first class had cheese platter."
251,No.
252,The taste was strong very condimented.
253,No.
254,"Beverage serving could be more often, eg. before and after lunch/dinner."
255,"Like I mentioned before, the food from Paris to Chicago was good. It was the flight from Chicago to Amsterdam where the food was just awful and very disappointing. Could not even identify what it was."
256,Did not purchase food as the options were meager and not very appealing.
257,No.
258,"There is a requirement to have a smart phone with an app, which seems to be waived if you do not have the tech, as we did not. We think we should be ablee to simply use our credit card as before."
259,It said there is meal on the first class ticket. In the end just drink.
260,Offer free domestic beers on the premium service flight.
261,"Too little choice, Burger was greasy."
262,Sitting in first row. you should not already be out of the choices I am presented.
263,Change it up more frequently. Gets boring and unappealing.
264,We had pretzels for a snack and they were stale.
265,"Loved that you gave a full can of soda. Did not love that there were no peanuts, but that is probably an allergy thing."
266,"If you could, it would be great to advise passengers when they book if they need to order a meal ahead of time. At time of on line check in, it may be too late."
267,"Stale bread , like cardboard . Chicken and mashed potatoes had wierd flavor and/or after taste . Like chemical . Have noticed this on other chicken / potato meals."
268,Would like to see a more consistent snack. Pretzels sometimes does not make thru the whole flight.
269,No.
270,The food choices are all unappetizing.
271,Chicken entrée was very similar to starter with quinoa etc. which is not to my taste. As a result just picked out the chicken.
272,never was perfect.
273,no snacks.
274,The lunch meal was not great.
275,No salad with meal (although salad dressing was brought). No nuts as appetizer offered.
276,"Out of a few flavors, limited selection."
277,Need more GF and Vegan options on all flights.
278,Stop giving snacks give substantial snacks Do not wastecfood.
279,So good!.
280,It would be nice to have alternatives to lager. I have occasionally had IPA on a flight but that it very rare.
281,"Yes, at no time before the flight could I make a food selection due to the short window of opportunity, I tried several times."
282,Excellent choices available.
283,the vegetarian noodles were not good. there was no chicken left.
284,"Was very happy the flight attendant saved my meal until later so I could sleep. The flight left at 11:30 pm. I wanted to sleep. eat the meal later, which the flight attendant took care of in a very helpful way."
285,Good service from flight attendents.
286,No.
287,I flew first class and was pleased with my food and beverage selection.
288,No.
289,Please offer a snack with the beverage-early morning flight-a small snack would be appreciated.
290,Nothing.
291,Please offer sugar free organic options. I do really appreciate the sparkling water choices.
292,No.
293,No.
294,Water tasted bad.
295,"Only 2 meal options available - same as a recent flight. One was no longer available on board. Flight attendant was responsive and offered snack box along with other meal offerings (fruit, cookie) to accommodate."
296,Nothing I can think of.
297,You used to give a snack cookie out. on the last several flights I have been on they are no longer offered.
298,"It is was good…. Not great. But ok, nothing to complain about."
299,No.
300,Nothing.
301,What was the purpose of pre-order when the attendants knew nothing about it.
302,No food or beverage on 47 minute flight.
303,"No snacks, pretzels."
304,Only one choice going. Coming back they had a vegan meal as a choice.
305,"Need higher quality in first, and also increased food service. Offer snacks more often. There is one meals served, then nothing for several hours, then 1 offer of a snack."
306,"Coast-to-coast flight, should offer a little more food. But, OK."
307,"The dinner was a choice between curry vegetables and chicken. I dislike Indian food so my choice was chicken. The chicken pieces were good, but this sort of quinoa-kind-of-thing is that kind of ""new age"" foods (kale, gluten free, all cardboard-tasty-good-for-you new stuff) that I also dislike. The salad that was a side dish was a lemony-sweety-crunchy mix that I did not like either. Fortunately, I had an ultraenemy-bad-wolf tasty sandwich that I had bought before boarding that made me feel comfortable on my 9hr and some more minutes trip from Houston to Buenos Aires. I have to say that I am an oldy 65. I am used to eat real food. Yours sincerely, The Dinosaur."
308,No.
309,"My only substantive disappointment on the food and beveridge offering (business class) was the total lack of description (none!). on menus of wine offerings. Food was quite good, as were wines. Flight attendants served huge sizes of wines. not optimal if one wanted to taste several."
310,Miss bread service.
311,no.
312,.
313,The warm meals are not good.
314,Having a seperate in flight menu vs putting it into the magazine and having to hunt for it.
315,Vegetarian entree for dinner was odd.. a cold noodle concoction which I did not like and a salad over a flaky bread disc…I was expecting something hot and tasty.
316,Would like to see options for less sugary drinks/juice and snack varieties.
317,"I can not eat gluten and can not have dairy, but had to select one or the other in order to place an order. It would be great to have foods that meet several criteria;. for example, something can be gluten-free and also vegan, and that way people who have multiple restrictions can easily make a choice that will result in foods they are able to eat."
318,Biscoffs are very good...would have loved to see a portion of 4.
319,"nice selection of beverages, specifically the choices of waters."
320,"Just a thank you for my upgrade - my chicken, orzo and kale dish was excellent, a delicious small blueberry dessert. Certainly helped me arrive in Spokane very happy!."
321,I would love it if you offered Dr. Pepper (or Mr. Pibb or similar) as an option! <:)>.
322,Good.
323,Quality can be improved.
324,The food served in First class was fabulous. Loved it!.
325,Need to give more options for food that is free.
326,No.
327,"Should have options for low carb and other diet. It was not an option for me to choose when I booked the ticket. If there were an option, I might miss it because it was not clearly listed on the screen when I booked the ticket."
328,Food and beverage for purchase required payment through the United app. I do not like storing credit card information online. Why not ApplePay or other contactless payments?.
329,It was a short flight so did not expect much.
330,No.
331,Would like to have a root beer as part of the beverages.
332,"I was interested in purchasing additional food and an alcoholic beverage, but did not have the United app on my phone, so did not have a contactless way of paying. I was discouraged, as a result, from making a purchase."
333,Bring back the sundae service.
334,What happen to the hot meals flights gave out.
335,na.
336,Yes.
337,"When a flight is nearly 5 hours long, a free that is more substantial than pretzels or biscoff should be offered."
338,Everything was great thank you so much your staff was great greatly appreciated thank you so much.
339,I had just water.
340,The entree was very dissatisfying regarding flavor and texture.
341,The snack between the two main meals was not satisfactory.
342,"I would like to see recycling performed by the crew - everything went in the trash on my Denver to EWR flight. All cans, glasses, & papers went in the trash. no recycling services was offered. When I asked a crew member about recyclsing, she said the recycle bags were in the back and could not be accessed. So I took all my recyclables with me when disembarking the plane, and recycled them inside the EWR airport - but everybody else's stuff was thrown away..."
343,"It was fine. For Gold status, with i did not have to pay for a snack (hummus box)."
344,None.
345,I did not receive the burger I preordered had choice is chicken or meatless meatballs. Selected chicken and did not enjoy it. Chicken was rubbery.
346,More options…. Especially for first class.
347,A snack used to also be provided. On the last few flights there was no snack.
348,"For the snack before landing, I asked for a Coke Zero but was told they were out. I was sitting in the second row of Economy Plus and am a 1K member, so I am somewhat shocked that a flight of this length would not have Coke Zero available."
349,No.
350,New Polaris menu is excellent.
351,Food can have more vegetarian options.
352,Ran out of cookies.
353,"Could be a bit more variety. Not for the main course but for the snack prior to landing (only a cold sandwich with cheese was served). Besides that, everything was great based on economy class standards."
354,"The white wine felt like very low quality and had a bad taste. I did not drink it. The quality of the food was mostly ok, but not great. I would have loved to receive a healthier meal."
355,"Pour or leave the whole can!. After adding ice to the cup, I think I got 2 swallows of water."
356,"For a 2 hour flight, why serve anything?. Just seems weird and a waste."
357,"Wine and beer should not be charged at Economy Plus and for such long flight, the snacks needs to be improved."
358,"I did not have my phone set up with a credit card so I could not order anything. Understand rational, but I would have liked to order, but I was not interested in entering my credit card on an unsecured network."
359,Bigger snack bags also non-gluten.
360,Digestifs.
361,Loved that you had stroopwafels!.
362,Had coffee and a cookie And may I said a small cookie!!!!. It would be nice to get back to FOOD.
363,It is ok.
364,Larger bag of pretzels!.
365,No.
366,I liked that there was a vegetarian option as part of the regular food offering. I did not have to request a special meal. One main meal and two snacks were just right for the the 10+ hour flight.
367,no.
368,"Lots of wasted food since no choice of items was given, just all of it served."
369,"Go back to the days where we all had a modest ""snackbox"" and hot food in 1rst."
370,The snack options are rather limited. At least the Biscoff cookies are tasty though.
371,I would like more options for purchase.
372,Wine was cheap. I recommend United to offer better quality wines.
373,On line it was stated that my flight would serve a meal.
374,The frequency in which I was able to get a water or beverage refill seemed a little below the normal frequency I have experienced on previous United flight.
375,No free food offered. Loved the sparking water options thank you!.
376,The snack I received was dry and not pleasant.
377,No.
378,Healthier choices.
379,No.
380,Flight attendants gave you the whole can!. It speeds up service so much. you get more than three sips - genius. Great policy.
381,The club lounge food options were not very good. No toaster for bagels.
382,Serve the whole can of juice.
383,No.
384,Was much improved since the last time I flew in 2019!.
385,Macadamia nuts.
386,No.
387,"Wonderful chicken dinner Wellington burger, not so much."
388,Cold wheat berry salad has been on the menu for a number of years and it is inedible and most of the passengers Avoid eating it.
389,The green tea is not strong enough.
390,They should give you a whole can instead of a half of can.
391,Options of wine should be considered.
392,"For a 9 hour flight I find it unsatisfactory to only be offered 1 meal, towards the beginning, then with 7 hours of pay only options."
393,No.
394,No.
395,"Food choices were awful. And I had to find flight attendant to request a cocktail. Hot towels should have been offered right away. I flew Austrian Airlines Premium Plus. we were greeted with a hot towel, a cocktail and warm nuts. And a printed menu. United's premium plus was only worth it for the seat."
396,Love Buffalo Trace...
397,Beef salami has consistently been one of the worst salamis. The box also changed and no longer includes two cheese spreads but a sickeningly sweet fig spread. The breadsticks are a good change.
398,Vegan milk would be nice.
399,None served. Short flight.
400,All great.
401,No thank you.
402,"Really a 2oz pack of pretzels or a cookie, need more choices and larger serving."
403,Should offer 2 snacks for 6 hour flight and better selection would be nice.(like JetBlue).
404,More hot options please!. And please bring back the waffles regardless of time of day.
405,"We desperately need more choices for entrees, it is always just za'tar chicken or impossible meatballs. aside from that, the food was good - fruit bowl was very fresh and pie in the sky is DELICIOUS never get rid of it!!!!."
406,Pre departure beverage in First Class was water or OJ. Missed the champagne choice.
407,NA.
408,Better than expected.
409,Give passengers more than one snack. They are small and it is frustrating to go through all the j Sue's with flying United and then be told you can not have both the snacks offered. Ridiculous.
410,Better snack boxes please!.
411,No - not much need for a one-hour flight.
412,Love the new chateau sovereign pinot. The cookie with the chocolate center was really good. I think the zatar chicken was actually harissa chicken.
413,"PIlot said no bathroom or service die to predicted turbulence. May I suggest that they distribute SMALL water bottles before takeoff, l for hydration and folks can keep them safe and put lid on if bumpy. Can also give folks a little snack even with turbulence. will not jump out of hand. May actually calm folks who are not used to our flights over the mtns. THere were barely any turbulents, by the way."
414,I asked for chicken and was given pasta. The pasta was adequate. I would have preferred chicken.
415,Food was very tasty.
416,More options on food in first/business.
417,I would rather have a chilled bottle or can. I have hear how dirty the ice and coffee are.
418,Food quality has really improved vs prior to the pandemic disruption.
419,No.
420,"The salad was dour, tasteless and not appetizing. For business class I would expected something a little better."
421,Would like to see bistro onboard offered on late night flights.
422,"I think you should give water in a bottle, not in a glass, even if they are small."
423,Good.
424,I prefer decaf sugar free soft drinks.
425,No food offered.
426,No.
427,"Tea and coffee would have been good, sadly none."
428,A four hour flight it would be nice if there were a more substantial snack.
429,In business would have preferred to have available wines printed in the menu. Felt like economy service with business price.
430,More choises first class.
431,No.
432,They did not have Coke Zero.
433,I wish there had been some snacks available especially since we sat on the tarmac ove an hour.
434,Better selection of food.
435,I thought it strange that juice & water were served in paper cups & not bottled I suppose to expedite.
436,Herbal tea options would be appreciated.
437,food was not good.
438,No.
439,Better options for snack for breakfast and lunch actually breakfast sandwich and lunch sandwich. More choices for beverage e special scotch.
440,"The salad shaker was great. Good concept. Them popcorn was good too. But the red stick and pretzels <🥨> were ok, not great. They only had one of the three We flew from COS TO Denver, really close on connecting flight. Then Denver to Newark, I flight so close on time from gate to gate. I paid a fee to board early on the flight from Denver to Bergen, $112. That was a joke. I was lucky to board at all. We almost missed the flight. We got on board and we very happy with the Economy plus seats , I stand 6’ 8” so any extra space is great. I would like to be refunded for the extra boarding fee of $ possible snack boxes. A little pricy. The filgts were so close together we had no time in the concourse to buy anything."
441,"food was served hot, but was vegetarian instead of beef."
442,"Option of scotch are not many, only one which is not great."
443,"I would like premium margaritas as an option. And, premium champagne like Laurent Perrier or Nicolas Feuillatte. Additionally, it would be nice to have easier access to see the available alcoholic drinks on these international flights in Polaris business class!. Why is it a secret?."
444,No.
445,A cookie or a small snack on a two plus hour flight would have been nice.
446,"Would have been nice to have the option for a water refill, especially since the water bottle refill station outside the gate in Dulles was out of order and we were destined for a high altitude, dry climate location."
447,You have to diwnload the app and maje sure the credit card is linked to the app. that is tge downside for me since there is no wifi.
448,Beverages not offered.
449,Unos tacos.
450,No snacks on a 2 he flight. No consistency on service vs flights.
451,I thought we were given too much food. Would have preferred to sleep instead of eating. The snack/breakfast was not needed.
452,"Scrambled eggs we ordered became undercooked omelet, served half hour after row in front of us."
453,pasta entree ran out before my row. there were only 2 beer options.
454,Menu has not changed in a long time. More variety would be nice.
455,I would love if green tea was offered on future flights!.
456,nope!.
457,I had to get up to request beverage refill.
458,Not really.
459,Water was cold.
460,None.
461,I was not offered any snack on my leg from Las Vegas to Denver.
462,Pretzels would have been nice.
463,I was glad to receive the entire can of soda with my cup of ice.
464,Why was there not even a snack ??. No free snack??.
465,Chicken with harissa was not good.
466,"Would have preferred a lighter meal for lunch on this flight, such as a sandwich option (instead of the two entrees offered)."
467,One used to be offered a cocktail followed by a drink with dinner. The drink with dinner is no longer offered - which is quite a step down. I did ask and was given a little bottle which was very nice. I thought they may have given it to me as I had changed my seat.... but it was not generally on offer. Most people want to sleep on that flight so it is particularly noticeable not to be offered a second glass.
468,No.
469,We flew Vancouver-Chicago-Ft. Lauderdale and then the reverse home. All 4 flights had the same 2 entrees. It would have been nice to have different options on the return flight a week later.
470,Perfect.
471,N/A - more of a variety.
