,flight_number,departure_station_code,arrival_station_code,scheduled_departure_dtl,entree_product_id,entree_description,entree_code,planned_entree_count,consumed_entree_count
6322,2216,EWX,LAX,2022-09-11,54076,Cacio e Pepe ravioli,P,30,0
6323,1245,EWX,DEX,2022-09-13,58272,Horchata steel cut oatmeal,OM,2,2
6324,1591,EWX,IAX,2022-09-14,60987,Impossible Meatball Bowl,V,5,2
6325,742,YVX,DEX,2022-09-17,60983,Zatar chicken,C,20,18
6326,1446,IAX,LAX,2022-09-20,61529,Zatar chicken,C,6,3
6327,1070,LAX,ORX,2022-09-20,61360,Brioche cheeseburger,B,3,0
6328,742,YVX,DEX,2022-09-21,60983,Zatar chicken,C,10,6
6329,295,DEX,SJX,2022-09-26,58981,Scrambled eggs,O,6,0
6330,2462,ORX,DEX,2022-09-27,58090,Classic selection cheese tray,O,12,8
6331,540,SFX,OGX,2022-09-27,54759,Seared beef short rib,B,2,0
6332,691,DEX,SEX,2022-09-29,61360,Brioche cheeseburger,B,1,0
6333,5407,DEX,HSX,2022-09-01,60985,Zatar chicken,C,7,4
6334,720,CHX,DEX,2022-09-01,61530,Impossible Meatball Bowl,V,5,0
6335,1984,MSX,DEX,2022-09-01,61529,Zatar chicken,C,7,5
6336,1687,SEX,IAX,2022-09-16,58981,Scrambled eggs,O,10,10
6337,1656,HNX,LAX,2022-09-17,32847,Gluten-free Meal,GF,1,0
6338,1571,SEX,LAX,2022-09-20,58981,Scrambled eggs,O,20,10
6339,2430,ORX,BOX,2022-09-20,58574,Belgium waffle,WF,5,5
6340,712,EWX,FLX,2022-09-20,60987,Impossible Meatball Bowl,V,6,0
6341,1019,IAX,CUX,2022-09-20,60987,Impossible Meatball Bowl,V,18,0
6342,1183,DEX,SMX,2022-09-20,60549,Vegetarian chili and polenta cake,V,1,0
6343,926,LHX,IAX,2022-09-16,55321,Vegetarian entree,VG,1,0
6344,739,CMX,DEX,2022-09-20,58981,Scrambled eggs,O,8,8
6345,198,NRX,GUX,2022-09-21,53277,Roasted chicken,C,14,14
6346,790,DEX,SNX,2022-09-23,61360,Brioche cheeseburger,B,6,3
6347,1199,ORX,CUX,2022-09-24,58563,Tomato and kale baked egg,E,8,4
6348,1974,EWX,IAX,2022-09-26,60987,Impossible Meatball Bowl,V,10,4
6349,151,KIX,GUX,2022-09-28,44184,Chicken roulade,C,4,6
6350,1137,DEX,MKX,2022-09-29,61360,Brioche cheeseburger,B,3,0
6351,1813,DEX,EWX,2022-09-29,58981,Scrambled eggs,O,10,0
6352,2347,SFX,DFX,2022-09-06,61530,Impossible Meatball Bowl,V,4,3
6353,2293,EWX,DEX,2022-09-07,58019,Belgium waffle,WF,48,0
6354,1419,DEX,MIX,2022-09-08,58019,Belgium waffle,WF,6,0
6355,234,DEX,SFX,2022-09-11,58764,Mediterranean Falafel Bowl,V,1,1
6356,2298,EWX,LAX,2022-09-14,60987,Impossible Meatball Bowl,V,4,4
6357,541,DEX,SAX,2022-09-15,60987,Impossible Meatball Bowl,V,7,3
6358,699,DFX,EWX,2022-09-19,61524,Scrambled eggs,O,6,0
6359,1131,SAX,IAX,2022-09-07,58110,Vegetarian entree,V,8,0
6360,1443,EWX,PDX,2022-09-07,61360,Brioche cheeseburger,B,8,4
6361,1709,DEX,PVX,2022-09-25,58574,Belgium waffle,WF,3,0
6362,653,BWX,IAX,2022-09-27,60987,Impossible Meatball Bowl,V,8,3
6363,1843,IAX,DEX,2022-09-27,61360,Brioche cheeseburger,B,5,0
6364,2662,ORX,BZX,2022-09-01,58981,Scrambled eggs,O,10,0
6365,465,DEX,PDX,2022-09-03,61360,Brioche cheeseburger,B,6,3
6366,2343,DEX,MFX,2022-09-06,60983,Zatar chicken,C,8,0
6367,2244,SAX,IAX,2022-09-14,61530,Impossible Meatball Bowl,V,5,3
6368,2383,IAX,PHX,2022-09-14,61360,Brioche cheeseburger,B,2,0
6369,1955,DCX,IAX,2022-09-02,61529,Zatar chicken,C,7,3
6370,407,DEX,LGX,2022-09-04,61530,Impossible Meatball Bowl,V,5,1
6371,406,SAX,DEX,2022-09-04,58019,Belgium waffle,WF,16,0
6372,540,SFX,OGX,2022-09-11,58764,Mediterranean Falafel Bowl,V,2,1
6373,1492,ORX,SAX,2022-09-01,61360,Brioche cheeseburger,B,1,0
6374,1571,BZX,IAX,2022-09-04,60987,Impossible Meatball Bowl,V,6,1
6375,470,IAX,ORX,2022-09-06,58981,Scrambled eggs,O,8,0
6376,314,DEX,IAX,2022-09-07,60983,Zatar chicken,C,11,0
6377,1899,DEX,ORX,2022-09-07,60983,Zatar chicken,C,34,10
6378,418,LAX,OGX,2022-09-01,57484,Tomato and kale baked egg,E,14,14
6379,643,EWX,PBX,2022-09-07,60983,Zatar chicken,C,8,8
6380,599,IAX,EWX,2022-09-08,60983,Zatar chicken,C,7,0
6381,1761,IAX,RDX,2022-09-09,61529,Zatar chicken,C,6,5
6382,2483,SFX,HNX,2022-09-10,54759,Seared beef short rib,B,14,13
6383,1260,SAX,IAX,2022-09-12,60983,Zatar chicken,C,24,11
6384,639,MCX,ORX,2022-09-20,58981,Scrambled eggs,O,12,0
6385,1419,DEX,MIX,2022-09-21,58019,Belgium waffle,WF,7,6
6386,473,SFX,RDX,2022-09-22,58981,Scrambled eggs,O,20,0
6387,281,DEX,ANX,2022-09-23,61360,Brioche cheeseburger,B,2,3
6388,371,EWX,LAX,2022-09-23,61360,Brioche cheeseburger,B,5,0
6389,1584,ORX,DFX,2022-09-23,61529,Zatar chicken,C,6,5
6390,1625,EWX,STX,2022-09-24,58563,Tomato and kale baked egg,E,4,0
6391,623,LAX,ORX,2022-09-25,58272,Horchata steel cut oatmeal,OM,2,2
6392,1459,LGX,IAX,2022-09-27,60983,Zatar chicken,C,10,0
6393,1754,EWX,SAX,2022-09-05,61360,Brioche cheeseburger,B,1,0
6394,722,EWX,MCX,2022-09-06,60983,Zatar chicken,C,9,12
6395,1074,DEX,EWX,2022-09-06,61360,Brioche cheeseburger,B,2,0
6396,2317,ORX,SAX,2022-09-08,61529,Zatar chicken,C,3,3
6397,1574,IAX,LAX,2022-09-19,58563,Tomato and kale baked egg,E,1,0
6398,392,PDX,IAX,2022-09-19,60983,Zatar chicken,C,12,0
6399,269,EWX,BOX,2022-09-19,54080,Jumbo burrata ravioli,P,2,3
6400,1042,SAX,ORX,2022-09-21,60987,Impossible Meatball Bowl,V,6,0
6401,1422,DEX,SAX,2022-09-21,60983,Zatar chicken,C,9,8
6402,453,SFX,ORX,2022-09-23,58563,Tomato and kale baked egg,E,2,2
6403,1912,MSX,IAX,2022-09-25,58574,Belgium waffle,WF,6,5
6404,316,FLX,IAX,2022-09-26,60987,Impossible Meatball Bowl,V,8,0
6405,1893,DEX,BOX,2022-09-29,61360,Brioche cheeseburger,B,2,0
6406,1576,EWX,LAX,2022-09-30,60983,Zatar chicken,C,22,23
6407,2389,LAX,EWX,2022-09-09,60983,Zatar chicken,C,10,0
6408,2372,DFX,SFX,2022-09-10,61524,Scrambled eggs,O,6,4
6409,2405,EWX,SDX,2022-09-14,60987,Impossible Meatball Bowl,V,12,10
6410,2451,IAX,DEX,2022-09-14,58272,Horchata steel cut oatmeal,OM,8,4
6411,1276,SEX,IAX,2022-09-15,60987,Impossible Meatball Bowl,V,7,0
6412,1207,DEX,YVX,2022-09-18,60983,Zatar chicken,C,7,0
6413,1118,DFX,IAX,2022-09-20,61529,Zatar chicken,C,7,7
6414,2341,ORX,MCX,2022-09-03,60987,Impossible Meatball Bowl,V,10,0
6415,404,DEX,LAX,2022-09-08,60987,Impossible Meatball Bowl,V,6,1
6416,2240,DEX,SFX,2022-09-08,60987,Impossible Meatball Bowl,V,5,0
6417,453,SFX,ORX,2022-09-12,58019,Belgium waffle,WF,12,0
6418,379,IAX,GDX,2022-09-11,60987,Impossible Meatball Bowl,V,5,5
6419,561,DEX,SFX,2022-09-13,61360,Brioche cheeseburger,B,2,0
6420,1419,DEX,MIX,2022-09-17,58019,Belgium waffle,WF,6,0
6421,2317,ORX,SAX,2022-09-21,61530,Impossible Meatball Bowl,V,4,4
6422,1149,SAX,DEX,2022-09-23,60983,Zatar chicken,C,24,18
6423,334,BOX,LAX,2022-09-30,60983,Zatar chicken,C,24,0
6424,2682,DEX,SFX,2022-09-17,60987,Impossible Meatball Bowl,V,11,0
6425,5614,DEX,CLX,2022-09-20,58040,Coconut chia oatmeal,OM,12,7
6426,2277,IAX,LAX,2022-09-23,60983,Zatar chicken,C,10,7
6427,2100,ORX,SFX,2022-09-29,60987,Impossible Meatball Bowl,V,6,2
6428,1799,IAX,PHX,2022-09-30,61360,Brioche cheeseburger,B,2,0
6429,1034,PTX,IAX,2022-09-05,58109,Chicken breast entree,C,12,12
6430,675,EWX,SEX,2022-09-07,53164,Vegetarian entree,VG,1,0
6431,1199,ORX,CUX,2022-09-03,58981,Scrambled eggs,O,7,0
6432,1654,CUX,LAX,2022-09-05,58105,Protein egg entree,O,11,4
6433,2228,LAX,DEX,2022-09-07,61529,Zatar chicken,C,7,4
6434,2650,ORX,LAX,2022-09-10,60987,Impossible Meatball Bowl,V,9,10
6435,222,SFX,MCX,2022-09-11,53164,Vegetarian entree,VG,3,3
6436,500,LAX,IAX,2022-09-14,53130,ASIAN VEGETARIAN MEAL,AV,1,1
6437,406,DEX,CLX,2022-09-15,60987,Impossible Meatball Bowl,V,5,3
6438,699,DFX,EWX,2022-09-16,58574,Belgium waffle,WF,6,0
6439,441,DEX,LAX,2022-09-16,61360,Brioche cheeseburger,B,1,0
6440,1409,IAX,BZX,2022-09-21,60987,Impossible Meatball Bowl,V,10,5
6441,1418,DEX,RDX,2022-09-21,60983,Zatar chicken,C,9,6
6442,774,CLX,DEX,2022-09-22,60987,Impossible Meatball Bowl,V,12,8
6443,516,JFX,LAX,2022-09-25,61475,Grilled chicken,C,22,14
6444,1111,OGX,LAX,2022-09-26,58091,Chicken katsu,C,14,10
6445,1137,DEX,MKX,2022-09-28,61360,Brioche cheeseburger,B,3,0
6446,184,GUX,MNX,2022-09-30,40980,Grilled chicken breast,C,6,4
6447,404,DEX,LAX,2022-09-06,61360,Brioche cheeseburger,B,6,6
6448,1677,TPX,EWX,2022-09-06,60987,Impossible Meatball Bowl,V,6,5
6449,691,DEX,SEX,2022-09-10,60987,Impossible Meatball Bowl,V,6,0
6450,1413,EWX,MIX,2022-09-11,60983,Zatar chicken,C,8,2
6451,2639,PDX,EWX,2022-09-13,53106,ASIAN VEGETARIAN MEAL,AV,2,2
6452,1035,IAX,PTX,2022-09-13,60987,Impossible Meatball Bowl,V,4,3
6453,1899,DEX,ORX,2022-09-14,60987,Impossible Meatball Bowl,V,11,0
6454,495,SNX,EWX,2022-09-16,58981,Scrambled eggs,O,6,6
6455,1084,IAX,CMX,2022-09-19,60987,Impossible Meatball Bowl,V,8,6
6456,2100,ORX,SFX,2022-09-20,60549,Vegetarian chili and polenta cake,V,2,0
6457,1445,IAX,DCX,2022-09-23,61360,Brioche cheeseburger,B,1,0
6458,582,DEX,INX,2022-09-26,58272,Horchata steel cut oatmeal,OM,3,0
6459,1709,DEX,PVX,2022-09-08,58563,Tomato and kale baked egg,E,1,0
6460,1599,PWX,ORX,2022-09-17,61529,Zatar chicken,C,7,5
6461,1041,EWX,AUX,2022-09-18,58981,Scrambled eggs,O,6,0
6462,1121,DEX,JAX,2022-09-19,60549,Vegetarian chili and polenta cake,V,2,0
6463,723,ORX,FLX,2022-09-21,58019,Belgium waffle,WF,7,1
6464,1875,YVX,DEX,2022-09-21,61529,Zatar chicken,C,7,6
6465,1482,SNX,IAX,2022-09-22,60983,Zatar chicken,C,20,16
6466,1246,EWX,MSX,2022-09-25,60549,Vegetarian chili and polenta cake,V,1,0
6467,1055,EWX,CUX,2022-09-27,58272,Horchata steel cut oatmeal,OM,2,2
6468,5812,DEX,BNX,2022-09-29,57994,Classic selection cheese tray,O,5,5
6469,1472,EWX,SDX,2022-09-12,58019,Belgium waffle,WF,9,6
6470,2381,ORX,DEX,2022-09-14,60983,Zatar chicken,C,8,5
6471,2650,ORX,LAX,2022-09-18,61360,Brioche cheeseburger,B,1,0
6472,2433,DEX,GRX,2022-09-19,61360,Brioche cheeseburger,B,2,0
6473,1077,EWX,LAX,2022-09-19,53167,Vegetarian entree,VG,1,1
6474,2130,SAX,IAX,2022-09-19,60987,Impossible Meatball Bowl,V,6,1
6475,2642,SAX,EWX,2022-09-21,53164,Vegetarian entree,VG,1,1
6476,372,LAX,DEX,2022-09-22,58981,Scrambled eggs,O,14,0
6477,2480,ORX,LAX,2022-09-24,61360,Brioche cheeseburger,B,4,4
6478,1417,IAX,LAX,2022-09-26,60983,Zatar chicken,C,22,0
6479,1571,SEX,LAX,2022-09-27,58981,Scrambled eggs,O,10,0
6480,1881,SXX,EWX,2022-09-03,58109,Chicken breast entree,C,7,8
6481,2213,IAX,SEX,2022-09-05,60987,Impossible Meatball Bowl,V,7,4
6482,473,SFX,RDX,2022-09-08,58981,Scrambled eggs,O,5,0
6483,2108,LAX,ORX,2022-09-17,60983,Zatar chicken,C,10,9
6484,1657,ORX,CUX,2022-09-18,61360,Brioche cheeseburger,B,1,0
6485,1439,EWX,DEX,2022-09-18,58019,Belgium waffle,WF,6,3
6486,1605,SFX,BNX,2022-09-20,60549,Vegetarian chili and polenta cake,V,2,0
6487,286,ORX,SNX,2022-09-12,58019,Belgium waffle,WF,7,3
6488,791,ORX,YVX,2022-09-12,60983,Zatar chicken,C,11,11
6489,2630,LGX,IAX,2022-09-13,61524,Scrambled eggs,O,6,3
6490,408,TPX,ORX,2022-09-18,58574,Belgium waffle,WF,6,0
6491,1472,EWX,SDX,2022-09-26,60987,Impossible Meatball Bowl,V,7,4
6492,590,DEX,EUX,2022-09-27,58764,Mediterranean Falafel Bowl,FB,1,0
6493,1223,EWX,SJX,2022-09-05,60987,Impossible Meatball Bowl,V,4,0
6494,2237,SFX,BOX,2022-09-06,58764,Mediterranean Falafel Bowl,V,5,0
6495,1270,DEX,ORX,2022-09-07,58764,Mediterranean Falafel Bowl,V,2,0
6496,2404,FLX,IAX,2022-09-09,60983,Zatar chicken,C,10,7
6497,2122,IAX,SNX,2022-09-11,61360,Brioche cheeseburger,B,3,0
6498,514,DEX,PHX,2022-09-11,61524,Scrambled eggs,O,8,7
6499,2448,RSX,EWX,2022-09-13,58981,Scrambled eggs,O,6,5
6500,2274,DEX,BWX,2022-09-16,58019,Belgium waffle,WF,6,5
6501,2327,ORX,TPX,2022-09-25,58019,Belgium waffle,WF,7,5
6502,1556,IAX,SEX,2022-09-27,58981,Scrambled eggs,O,7,0
6503,797,IAX,LAX,2022-09-27,58272,Horchata steel cut oatmeal,OM,1,0
6504,2465,SNX,ORX,2022-09-25,60983,Zatar chicken,C,20,10
6505,1167,SAX,EWX,2022-09-25,60987,Impossible Meatball Bowl,V,6,0
6506,2333,SFX,MCX,2022-09-25,58019,Belgium waffle,WF,7,7
6507,1112,SFX,LIX,2022-09-28,58766,Gingerbread French Toast,FT,1,1
6508,2298,EWX,LAX,2022-09-28,60987,Impossible Meatball Bowl,V,4,0
6509,1418,DEX,RDX,2022-09-15,60987,Impossible Meatball Bowl,V,5,0
6510,1604,ORX,PHX,2022-09-19,61530,Impossible Meatball Bowl,V,3,3
6511,529,ORX,SFX,2022-09-21,60549,Vegetarian chili and polenta cake,V,2,1
6512,2095,IAX,LGX,2022-09-24,61530,Impossible Meatball Bowl,V,4,0
6513,2046,DEX,TPX,2022-09-13,58563,Tomato and kale baked egg,E,1,0
6514,1657,ORX,CUX,2022-09-13,60987,Impossible Meatball Bowl,V,6,2
6515,479,DEX,ORX,2022-09-19,60987,Impossible Meatball Bowl,V,8,7
6516,1013,IAX,CUX,2022-09-20,60983,Zatar chicken,C,11,0
6517,287,CLX,DEX,2022-09-26,60987,Impossible Meatball Bowl,V,6,4
6518,1066,EWX,MEX,2022-09-20,60987,Impossible Meatball Bowl,V,4,0
6519,1115,SAX,DEX,2022-09-25,60983,Zatar chicken,C,8,0
6520,2134,PHX,IAX,2022-09-26,58019,Belgium waffle,WF,10,7
6521,1913,INX,IAX,2022-09-27,60987,Impossible Meatball Bowl,V,6,0
6522,682,ABX,SFX,2022-09-29,61530,Impossible Meatball Bowl,V,5,5
6523,1286,IAX,SAX,2022-09-19,60983,Zatar chicken,C,8,0
6524,709,DEX,SFX,2022-09-19,60983,Zatar chicken,C,8,0
6525,2136,EWX,MCX,2022-09-21,58272,Horchata steel cut oatmeal,OM,1,0
6526,1440,IAX,SJX,2022-09-21,60983,Zatar chicken,C,11,8
6527,522,JFX,SFX,2022-09-26,58049,Cinnamon French toast,FT,5,1
6528,2115,SFX,PIX,2022-09-26,61529,Zatar chicken,C,7,0
6529,1572,IAX,BOX,2022-09-23,60549,Vegetarian chili and polenta cake,V,2,0
6530,2277,IAX,LAX,2022-09-28,60983,Zatar chicken,C,13,11
6531,2607,LAX,IAX,2022-09-21,61360,Brioche cheeseburger,B,2,0
6532,1263,ORX,BOX,2022-09-22,58574,Belgium waffle,WF,6,4
6533,2303,ORX,BOX,2022-09-30,58563,Tomato and kale baked eggwhite pastry with fire ro,E,4,0
6534,1849,MCX,SFX,2022-09-12,60983,Zatar chicken,C,12,0
6535,1511,IAX,PHX,2022-09-08,60983,Zatar chicken,C,20,9
6536,1658,EWX,SNX,2022-09-29,58563,Tomato and kale baked eggwhite pastry with fire ro,E,6,0
6537,1125,DEX,SMX,2022-09-18,58019,Belgium waffle,WF,6,0
6538,1018,CUX,IAX,2022-09-03,58109,Chicken breast entree,C,12,3
6539,1122,DEX,ANX,2022-09-03,60987,Impossible Meatball Bowl,V,2,0
6540,2622,IAX,RNX,2022-09-04,61529,Zatar chicken,C,4,2
6541,1437,SLX,ORX,2022-09-07,61530,Impossible Meatball Bowl,V,5,5
6542,2128,DEX,ATX,2022-09-22,60983,Zatar chicken,C,7,5
6543,295,DEX,SJX,2022-09-24,58019,Belgium waffle,WF,7,5
6544,1425,ORX,AUX,2022-09-16,61360,Brioche cheeseburger,B,4,0
6545,540,SFX,OGX,2022-09-06,54759,Seared beef short rib,B,7,7
6546,2359,IAX,SAX,2022-09-08,58272,Horchata steel cut oatmeal,OM,1,0
6547,617,SJX,ORX,2022-09-11,58981,Scrambled eggs,O,10,10
6548,2393,IAX,MIX,2022-09-19,60983,Zatar chicken,C,12,0
6549,2236,SFX,MSX,2022-09-13,58563,Tomato and kale baked egg,E,2,0
6550,2625,LGX,DEX,2022-09-14,58981,Scrambled eggs,O,8,0
6551,2075,IAX,DEX,2022-09-27,61360,Brioche cheeseburger,B,3,0
6552,2316,INX,IAX,2022-09-30,60987,Impossible Meatball Bowl,V,8,8
6553,522,JFX,SFX,2022-09-27,61945,Monterey jack and red pepper egg white bites,E,11,8
6554,1917,IAX,PTX,2022-09-02,58766,Gingerbread French Toast,FT,1,1
6555,1017,IAX,CUX,2022-09-02,60983,Zatar chicken,C,14,0
6556,1852,ORX,PDX,2022-09-03,58019,Belgium waffle,WF,7,10
6557,2274,DEX,BWX,2022-09-04,58981,Scrambled eggs,O,8,8
6558,1116,SFX,DEX,2022-09-04,58764,Mediterranean Falafel Bowl,V,3,3
6559,733,DEX,CVX,2022-09-05,60983,Zatar chicken,C,16,12
6560,248,JAX,EWX,2022-09-08,61524,Scrambled eggs,O,6,0
6561,1968,DEX,MSX,2022-09-08,60549,Vegetarian chili and polenta cake,V,1,0
6562,381,ORX,PDX,2022-09-11,60549,Vegetarian chili and polenta cake,V,2,0
6563,2679,ORX,SFX,2022-09-11,58981,Scrambled eggs,O,28,14
6564,643,DEX,LAX,2022-09-15,58019,Belgium waffle,WF,6,0
6565,1537,IAX,EWX,2022-09-16,58019,Belgium waffle,WF,12,6
6566,1271,ORX,PUX,2022-09-01,58019,Belgium waffle,WF,22,11
6567,517,SEX,LAX,2022-09-02,61530,Impossible Meatball Bowl,V,5,2
6568,1166,IAX,ONX,2022-09-03,60983,Zatar chicken,C,18,8
6569,1945,ORX,PHX,2022-09-04,61529,Zatar chicken,C,4,5
6570,2672,IAX,SAX,2022-09-05,58563,Tomato and kale baked egg,E,3,0
6571,1426,MKX,DEX,2022-09-06,60987,Impossible Meatball Bowl,V,6,0
6572,875,NRX,GUX,2022-09-07,53291,Loco moco,B,8,6
6573,2201,EWX,SAX,2022-09-07,60983,Zatar chicken,C,9,0
6574,360,ORX,MEX,2022-09-08,61524,Scrambled eggs,O,3,1
6575,265,SAX,DEX,2022-09-10,61529,Zatar chicken,C,7,7
6576,2464,ORX,MCX,2022-09-10,60987,Impossible Meatball Bowl,V,5,2
6577,2630,LGX,IAX,2022-09-01,61524,Scrambled eggs,O,6,6
6578,2665,ORX,SMX,2022-09-02,61360,Brioche cheeseburger,B,5,5
6579,1719,LAX,KOX,2022-09-04,54759,Seared beef short rib,B,10,0
6580,1552,EWX,GUX,2022-09-05,58764,Mediterranean Falafel Bowl,V,2,2
6581,615,SMX,ORX,2022-09-05,61529,Zatar chicken,C,7,0
6582,522,JFX,SFX,2022-09-07,58488,Tapas,O2,8,8
6583,1007,DEX,SEX,2022-09-09,58764,Mediterranean Falafel Bowl,V,6,3
6584,252,BWX,LAX,2022-09-11,58981,Scrambled eggs,O,8,8
6585,1146,SFX,CUX,2022-09-03,60987,Impossible Meatball Bowl,V,12,0
6586,2279,ORX,SEX,2022-09-07,61360,Brioche cheeseburger,B,4,4
6587,1898,LAX,ORX,2022-09-10,60987,Impossible Meatball Bowl,V,5,1
6588,2639,PDX,EWX,2022-09-03,58019,Belgium waffle,WF,5,4
6589,1851,IAX,SFX,2022-09-01,58563,Tomato and kale baked egg,E,2,1
6590,2354,IAX,POX,2022-09-05,61360,Brioche cheeseburger,B,4,0
6591,1419,DEX,MIX,2022-09-05,58981,Scrambled eggs,O,8,0
6592,2075,IAX,DEX,2022-09-10,58764,Mediterranean Falafel Bowl,V,3,0
6593,2333,SFX,MCX,2022-09-10,58563,Tomato and kale baked egg,E,2,0
6594,1903,IAX,GUX,2022-09-10,60987,Impossible Meatball Bowl,V,6,1
6595,623,LAX,ORX,2022-09-13,58272,Horchata steel cut oatmeal,OM,1,1
6596,791,ORX,YVX,2022-09-17,60983,Zatar chicken,C,9,9
6597,1176,SFX,HNX,2022-09-19,57484,Tomato and kale baked egg,E,84,0
6598,674,MCX,IAX,2022-09-19,60983,Zatar chicken,C,24,12
6599,2405,EWX,SDX,2022-09-01,60987,Impossible Meatball Bowl,V,8,8
6600,1888,DEX,BDX,2022-09-04,58764,Mediterranean Falafel Bowl,V,1,0
6601,1017,IAX,CUX,2022-09-01,60987,Impossible Meatball Bowl,V,7,0
6602,1821,PLX,IAX,2022-09-01,60983,Zatar chicken,C,10,6
6603,2109,EWX,SAX,2022-09-06,53130,ASIAN VEGETARIAN MEAL,AV,2,2
6604,660,SEX,DEX,2022-09-08,60987,Impossible Meatball Bowl,V,6,4
6605,1102,DEX,LAX,2022-09-09,60987,Impossible Meatball Bowl,V,8,2
6606,1204,IAX,AUX,2022-09-10,58766,Gingerbread French Toast,FT,1,0
6607,1657,ORX,CUX,2022-09-11,60983,Zatar chicken,C,8,0
6608,2288,ORX,SMX,2022-09-11,58019,Belgium waffle,WF,7,4
6609,1003,DEX,SDX,2022-09-12,61530,Impossible Meatball Bowl,V,5,0
6610,2146,ORX,PWX,2022-09-24,61530,Impossible Meatball Bowl,V,2,2
6611,449,BOX,DEX,2022-09-13,60983,Zatar chicken,C,24,18
6612,2457,LAX,EWX,2022-09-13,58488,Tapas,O2,44,44
6613,1278,CUX,LAX,2022-09-15,52133,Gluten-free Meal,GF,2,1
6614,477,SFX,ORX,2022-09-17,60987,Impossible Meatball Bowl,V,11,3
6615,2198,IAX,PDX,2022-09-18,60987,Impossible Meatball Bowl,V,14,0
6616,2070,IAX,IAX,2022-09-21,60549,Vegetarian chili and polenta cake,V,1,0
6617,2388,MCX,LAX,2022-09-13,58019,Belgium waffle,WF,16,6
6618,531,DEX,SEX,2022-09-01,58764,Mediterranean Falafel Bowl,FB,3,3
6619,1461,IAX,SAX,2022-09-02,60549,Vegetarian chili and polenta cake,V,2,0
6620,1192,DCX,IAX,2022-09-02,58019,Belgium waffle,WF,6,3
6621,2622,IAX,RNX,2022-09-02,60987,Impossible Meatball Bowl,V,6,0
6622,2396,EWX,PBX,2022-09-01,58019,Belgium waffle,WF,8,0
6623,2155,ORX,SAX,2022-09-20,60549,Vegetarian chili and polenta cake,V,1,1
6624,2426,IAX,ORX,2022-09-22,60987,Impossible Meatball Bowl,V,18,5
6625,227,BOX,IAX,2022-09-27,58019,Belgium waffle,WF,20,14
6626,1412,ORX,IAX,2022-09-28,61524,Scrambled eggs,O,6,6
6627,1125,DEX,SMX,2022-09-28,58766,Gingerbread French Toast,FT,1,0
6628,2681,SEX,EWX,2022-09-02,60983,Zatar chicken,C,12,0
6629,488,SFX,IAX,2022-09-03,60983,Zatar chicken,C,18,9
6630,1597,DEX,ATX,2022-09-12,60983,Zatar chicken,C,10,0
6631,493,EWX,IAX,2022-09-13,58019,Belgium waffle,WF,9,5
6632,2332,EWX,MIX,2022-09-14,60983,Zatar chicken,C,8,5
6633,653,BWX,IAX,2022-09-16,60983,Zatar chicken,C,24,18
6634,490,DEX,IAX,2022-09-18,60987,Impossible Meatball Bowl,V,8,7
6635,372,LAX,DEX,2022-09-23,58981,Scrambled eggs,O,28,0
6636,1920,IAX,CZX,2022-09-28,60987,Impossible Meatball Bowl,V,4,0
6637,341,ATX,DEX,2022-09-30,58019,Belgium waffle,WF,16,0
6638,1690,IAX,SFX,2022-09-05,60549,Vegetarian chili and polenta cake,V,1,0
6639,1878,IAX,LAX,2022-09-07,60983,Zatar chicken,C,17,0
6640,2122,IAX,SNX,2022-09-14,60983,Zatar chicken,C,8,-2
6641,2448,RSX,EWX,2022-09-14,58019,Belgium waffle,WF,6,6
6642,470,IAX,ORX,2022-09-23,58766,Gingerbread French Toast,FT,2,0
6643,742,YVX,DEX,2022-09-23,60983,Zatar chicken,C,10,6
6644,1019,IAX,CUX,2022-09-23,60983,Zatar chicken,C,12,0
6645,1125,DEX,SMX,2022-09-24,58019,Belgium waffle,WF,14,8
6646,699,DFX,EWX,2022-09-01,61524,Scrambled eggs,O,6,3
6647,2054,IAX,DEX,2022-09-01,58766,Gingerbread French Toast,FT,1,1
6648,1780,EWX,RSX,2022-09-02,60987,Impossible Meatball Bowl,V,6,0
6649,4655,DEX,MEX,2022-09-03,60985,Zatar chicken,C,7,0
6650,1599,SMX,ORX,2022-09-03,60987,Impossible Meatball Bowl,V,6,0
6651,2478,EWX,SMX,2022-09-07,60983,Zatar chicken,C,5,5
6652,1974,EWX,IAX,2022-09-08,61360,Brioche cheeseburger,B,4,0
6653,1459,LGX,IAX,2022-09-10,60983,Zatar chicken,C,7,6
6654,532,EWX,PBX,2022-09-30,61360,Brioche cheeseburger,B,1,0
6655,1603,MCX,DEX,2022-09-05,60987,Impossible Meatball Bowl,V,16,8
6656,377,AUX,IAX,2022-09-12,60983,Zatar chicken,C,7,4
6657,2663,ORX,DEX,2022-09-03,61360,Brioche cheeseburger,B,2,0
6658,1043,EWX,AUX,2022-09-09,61360,Brioche cheeseburger,B,6,0
6659,2364,DEX,EWX,2022-09-10,60987,Impossible Meatball Bowl,V,6,6
6660,5602,DEX,RDX,2022-09-12,60985,Zatar chicken,C,7,6
6661,2311,ORX,SNX,2022-09-05,58764,Mediterranean Falafel Bowl,V,1,0
6662,721,DEX,YYX,2022-09-05,61360,Brioche cheeseburger,B,1,0
6663,2359,JAX,IAX,2022-09-06,58019,Belgium waffle,WF,16,5
6664,1104,DEX,BOX,2022-09-08,58766,Gingerbread French Toast,FT,2,0
